"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-406,100000,0,0,0,0,0
5,-401,100000,1,0,0,0,0
20,-386,100000,0,0,0,0,0
26,-380,100000,1,0,0,0,0
38,-368,100000,0,0,0,0,0
41,-365,100000,1,0,0,0,0
48,-358,100000,0,0,0,0,0
54,-352,100000,1,0,0,0,0
214,-192,100000,0,0,0,0,0
219,-187,100000,1,0,0,0,0
228,-178,100000,0,0,0,0,0
234,-172,100000,1,0,0,0,0
242,-164,100000,0,0,0,0,0
243,-163,100000,1,0,0,0,0
244,-162,100000,0,0,0,0,0
248,-158,100000,1,0,0,0,0
255,-151,100000,0,0,0,0,0
260,-146,100000,1,0,0,0,0
271,-135,100000,0,0,0,0,0
272,-134,100000,1,0,0,0,0
273,-133,100000,0,0,0,0,0
277,-129,100000,1,0,0,0,0
288,-118,100000,0,0,0,0,0
294,-112,100000,1,0,0,0,0
317,-89,100000,0,0,0,0,0
323,-83,100000,1,0,0,0,0
332,-74,100000,0,0,0,0,0
338,-68,100000,1,0,0,0,0
4096,3690,100000,1,0,0,0,0
