"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-2042,2000000,0,0,0,0,0
3,-2039,2000000,1,0,0,0,0
8,-2034,2000000,0,0,0,0,0
26,-2016,2000000,1,0,0,0,0
30,-2012,2000000,0,0,0,0,0
39,-2003,2000000,1,0,0,0,0
96,-1946,2000000,0,0,0,0,0
142,-1900,2000000,1,0,0,0,0
208,-1834,2000000,0,0,0,0,0
213,-1829,2000000,1,0,0,0,0
222,-1820,2000000,0,0,0,0,0
226,-1816,2000000,1,0,0,0,0
231,-1811,2000000,0,0,0,0,0
254,-1788,2000000,1,0,0,0,0
313,-1729,2000000,0,0,0,0,0
359,-1683,2000000,1,0,0,0,0
1576,-466,2000000,0,0,0,0,0
1581,-461,2000000,1,0,0,0,0
1585,-457,2000000,0,0,0,0,0
1603,-439,2000000,1,0,0,0,0
1608,-434,2000000,0,0,0,0,0
1617,-425,2000000,1,0,0,0,0
1684,-358,2000000,0,0,0,0,0
1729,-313,2000000,1,0,0,0,0
1795,-247,2000000,0,0,0,0,0
1799,-243,2000000,1,0,0,0,0
1809,-233,2000000,0,0,0,0,0
1840,-202,2000000,1,0,0,0,0
1946,-96,2000000,0,0,0,0,0
1991,-51,2000000,1,0,0,0,0
2078,36,2000000,0,0,0,0,0
2082,40,2000000,1,0,0,0,0
2087,45,2000000,0,0,0,0,0
2123,81,2000000,1,0,0,0,0
2154,112,2000000,0,0,0,0,0
2199,157,2000000,1,0,0,0,0
2388,346,2000000,0,0,0,0,0
2397,355,2000000,1,0,0,0,0
2401,359,2000000,0,0,0,0,0
2406,364,2000000,1,0,0,0,0
2410,368,2000000,0,0,0,0,0
2433,391,2000000,1,0,0,0,0
2461,419,2000000,0,0,0,0,0
2507,465,2000000,1,0,0,0,0
4096,2054,2000000,1,0,0,0,0
