"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-2042,2000000,0,0,0,0,0
2,-2040,2000000,1,0,0,0,0
7,-2035,2000000,0,0,0,0,0
25,-2017,2000000,1,0,0,0,0
30,-2012,2000000,0,0,0,0,0
39,-2003,2000000,1,0,0,0,0
151,-1891,2000000,0,0,0,0,0
196,-1846,2000000,1,0,0,0,0
258,-1784,2000000,0,0,0,0,0
262,-1780,2000000,1,0,0,0,0
271,-1771,2000000,0,0,0,0,0
276,-1766,2000000,1,0,0,0,0
280,-1762,2000000,0,0,0,0,0
303,-1739,2000000,1,0,0,0,0
359,-1683,2000000,0,0,0,0,0
404,-1638,2000000,1,0,0,0,0
1621,-421,2000000,0,0,0,0,0
1626,-416,2000000,1,0,0,0,0
1630,-412,2000000,0,0,0,0,0
1649,-393,2000000,1,0,0,0,0
1653,-389,2000000,0,0,0,0,0
1662,-380,2000000,1,0,0,0,0
1729,-313,2000000,0,0,0,0,0
1774,-268,2000000,1,0,0,0,0
1840,-202,2000000,0,0,0,0,0
1845,-197,2000000,1,0,0,0,0
1854,-188,2000000,0,0,0,0,0
1886,-156,2000000,1,0,0,0,0
1937,-105,2000000,0,0,0,0,0
1982,-60,2000000,1,0,0,0,0
2068,26,2000000,0,0,0,0,0
2082,40,2000000,1,0,0,0,0
2086,44,2000000,0,0,0,0,0
2114,72,2000000,1,0,0,0,0
2186,144,2000000,0,0,0,0,0
2231,189,2000000,1,0,0,0,0
2419,377,2000000,0,0,0,0,0
2428,386,2000000,1,0,0,0,0
2433,391,2000000,0,0,0,0,0
2437,395,2000000,1,0,0,0,0
2442,400,2000000,0,0,0,0,0
2465,423,2000000,1,0,0,0,0
2525,483,2000000,0,0,0,0,0
2570,528,2000000,1,0,0,0,0
4096,2054,2000000,1,0,0,0,0
