Time[s], Channel 7
-0.100000000000000, 1
0.000000000000000, 0
0.000005500000000, 1
0.000010750000000, 0
0.000032250000000, 1
0.000037750000000, 0
0.000048500000000, 1
0.000132750000000, 0
0.000186000000000, 1
0.000263500000000, 0
0.000269000000000, 1
0.000279500000000, 0
0.000285000000000, 1
0.000290250000000, 0
0.000317250000000, 1
0.000388500000000, 0
0.000442000000000, 1
0.001715250000000, 0
0.001720750000000, 1
0.001726000000000, 0
0.001747500000000, 1
0.001752750000000, 0
0.001763750000000, 1
0.001839000000000, 0
0.001892500000000, 1
0.001968000000000, 0
0.001973250000000, 1
0.001978750000000, 0
0.001984000000000, 1
0.001994750000000, 0
0.002021750000000, 1
0.002121750000000, 0
0.002175000000000, 1
0.002247500000000, 0
0.002258250000000, 1
0.002263500000000, 0
0.002269000000000, 1
0.002274250000000, 0
0.002301250000000, 1
0.002356250000000, 0
0.002409750000000, 1
0.002666750000000, 0
0.002672250000000, 1
0.002677500000000, 0
0.002699250000000, 1
0.002704500000000, 0
0.002715250000000, 1
0.002783000000000, 0
0.002836250000000, 1
0.002914250000000, 0
0.002925000000000, 1
0.002935750000000, 0
0.002968000000000, 1
0.003028250000000, 0
0.003081500000000, 1
0.003156250000000, 0
0.003161500000000, 1
0.003167000000000, 0
0.003199250000000, 1
0.003204500000000, 0
0.003210000000000, 1
0.003305500000000, 0
0.003359000000000, 1
0.003575500000000, 0
0.003586250000000, 1
0.003602500000000, 0
0.003607750000000, 1
0.003613250000000, 0
0.003618500000000, 1
0.003624000000000, 0
0.003629250000000, 1
0.003721500000000, 0
0.003774750000000, 1
0.065886250000000, 0
0.065891750000000, 1
0.065897000000000, 0
0.065918500000000, 1
0.065923750000000, 0
0.065934750000000, 1
0.065989750000000, 0
0.066043000000000, 1
0.066117500000000, 0
0.066122750000000, 1
0.066133500000000, 0
0.066139000000000, 1
0.066144250000000, 0
0.066171250000000, 1
0.066283000000000, 0
0.066299000000000, 1
0.066304250000000, 0
0.066336250000000, 1
