"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-406,1000000,0,0,0,0,0
3,-403,1000000,1,0,0,0,0
8,-398,1000000,0,0,0,0,0
26,-380,1000000,1,0,0,0,0
31,-375,1000000,0,0,0,0,0
40,-366,1000000,1,0,0,0,0
87,-319,1000000,0,0,0,0,0
132,-274,1000000,1,0,0,0,0
195,-211,1000000,0,0,0,0,0
199,-207,1000000,1,0,0,0,0
208,-198,1000000,0,0,0,0,0
213,-193,1000000,1,0,0,0,0
217,-189,1000000,0,0,0,0,0
240,-166,1000000,1,0,0,0,0
354,-52,1000000,0,0,0,0,0
399,-7,1000000,1,0,0,0,0
1615,1209,1000000,0,0,0,0,0
1619,1213,1000000,1,0,0,0,0
1624,1218,1000000,0,0,0,0,0
1642,1236,1000000,1,0,0,0,0
1647,1241,1000000,0,0,0,0,0
1656,1250,1000000,1,0,0,0,0
1717,1311,1000000,0,0,0,0,0
1762,1356,1000000,1,0,0,0,0
1824,1418,1000000,0,0,0,0,0
1829,1423,1000000,1,0,0,0,0
1838,1432,1000000,0,0,0,0,0
1870,1464,1000000,1,0,0,0,0
1920,1514,1000000,0,0,0,0,0
1965,1559,1000000,1,0,0,0,0
2047,1641,1000000,0,0,0,0,0
2052,1646,1000000,1,0,0,0,0
2056,1650,1000000,0,0,0,0,0
2093,1687,1000000,1,0,0,0,0
2123,1717,1000000,0,0,0,0,0
2168,1762,1000000,1,0,0,0,0
2352,1946,1000000,0,0,0,0,0
2361,1955,1000000,1,0,0,0,0
2366,1960,1000000,0,0,0,0,0
2371,1965,1000000,1,0,0,0,0
2375,1969,1000000,0,0,0,0,0
2398,1992,1000000,1,0,0,0,0
2421,2015,1000000,0,0,0,0,0
2466,2060,1000000,1,0,0,0,0
4096,3690,1000000,1,0,0,0,0
