"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-406,1000000,0,0,0,0,0
4,-402,1000000,1,0,0,0,0
8,-398,1000000,0,0,0,0,0
26,-380,1000000,1,0,0,0,0
31,-375,1000000,0,0,0,0,0
40,-366,1000000,1,0,0,0,0
87,-319,1000000,0,0,0,0,0
132,-274,1000000,1,0,0,0,0
195,-211,1000000,0,0,0,0,0
199,-207,1000000,1,0,0,0,0
209,-197,1000000,0,0,0,0,0
213,-193,1000000,1,0,0,0,0
218,-188,1000000,0,0,0,0,0
240,-166,1000000,1,0,0,0,0
300,-106,1000000,0,0,0,0,0
345,-61,1000000,1,0,0,0,0
1561,1155,1000000,0,0,0,0,0
1566,1160,1000000,1,0,0,0,0
1570,1164,1000000,0,0,0,0,0
1588,1182,1000000,1,0,0,0,0
1593,1187,1000000,0,0,0,0,0
1602,1196,1000000,1,0,0,0,0
1722,1316,1000000,0,0,0,0,0
1767,1361,1000000,1,0,0,0,0
1830,1424,1000000,0,0,0,0,0
1834,1428,1000000,1,0,0,0,0
1843,1437,1000000,0,0,0,0,0
1875,1469,1000000,1,0,0,0,0
1925,1519,1000000,0,0,0,0,0
1971,1565,1000000,1,0,0,0,0
2053,1647,1000000,0,0,0,0,0
2057,1651,1000000,1,0,0,0,0
2062,1656,1000000,0,0,0,0,0
2098,1692,1000000,1,0,0,0,0
2129,1723,1000000,0,0,0,0,0
2174,1768,1000000,1,0,0,0,0
2239,1833,1000000,0,0,0,0,0
2249,1843,1000000,1,0,0,0,0
2253,1847,1000000,0,0,0,0,0
2258,1852,1000000,1,0,0,0,0
2262,1856,1000000,0,0,0,0,0
2285,1879,1000000,1,0,0,0,0
2309,1903,1000000,0,0,0,0,0
2354,1948,1000000,1,0,0,0,0
4096,3690,1000000,1,0,0,0,0
