"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-2042,1000000,0,0,0,0,0
3,-2039,1000000,1,0,0,0,0
8,-2034,1000000,0,0,0,0,0
26,-2016,1000000,1,0,0,0,0
30,-2012,1000000,0,0,0,0,0
40,-2002,1000000,1,0,0,0,0
157,-1885,1000000,0,0,0,0,0
202,-1840,1000000,1,0,0,0,0
267,-1775,1000000,0,0,0,0,0
272,-1770,1000000,1,0,0,0,0
281,-1761,1000000,0,0,0,0,0
286,-1756,1000000,1,0,0,0,0
290,-1752,1000000,0,0,0,0,0
313,-1729,1000000,1,0,0,0,0
370,-1672,1000000,0,0,0,0,0
415,-1627,1000000,1,0,0,0,0
1635,-407,1000000,0,0,0,0,0
1639,-403,1000000,1,0,0,0,0
1644,-398,1000000,0,0,0,0,0
1662,-380,1000000,1,0,0,0,0
1667,-375,1000000,0,0,0,0,0
1676,-366,1000000,1,0,0,0,0
1739,-303,1000000,0,0,0,0,0
1784,-258,1000000,1,0,0,0,0
1844,-198,1000000,0,0,0,0,0
1849,-193,1000000,1,0,0,0,0
1858,-184,1000000,0,0,0,0,0
1890,-152,1000000,1,0,0,0,0
1938,-104,1000000,0,0,0,0,0
1983,-59,1000000,1,0,0,0,0
2068,26,1000000,0,0,0,0,0
2072,30,1000000,1,0,0,0,0
2077,35,1000000,0,0,0,0,0
2113,71,1000000,1,0,0,0,0
2187,145,1000000,0,0,0,0,0
2232,190,1000000,1,0,0,0,0
2414,372,1000000,0,0,0,0,0
2423,381,1000000,1,0,0,0,0
2428,386,1000000,0,0,0,0,0
2432,390,1000000,1,0,0,0,0
2437,395,1000000,0,0,0,0,0
2460,418,1000000,1,0,0,0,0
2526,484,1000000,0,0,0,0,0
2571,529,1000000,1,0,0,0,0
4096,2054,1000000,1,0,0,0,0
