Time[s], Channel 7
3.388286500000000, 0
3.388292000000000, 1
3.388297250000000, 0
3.388318750000000, 1
3.388324000000000, 0
3.388335000000000, 1
3.388412750000000, 0
3.388466250000000, 1
3.388560750000000, 0
3.388614500000000, 1
3.388679500000000, 0
3.388690250000000, 1
3.388700750000000, 0
3.388711500000000, 1
3.388716750000000, 0
3.388732750000000, 1
3.388904750000000, 0
3.388910250000000, 1
3.388915500000000, 0
3.388937000000000, 1
3.388942250000000, 0
3.388953250000000, 1
3.389026000000000, 0
3.389079500000000, 1
3.389157500000000, 0
3.389163000000000, 1
3.389168250000000, 0
3.389211250000000, 1
5.943125250000000, 0
5.943157250000000, 1
5.943162500000000, 0
5.943178750000000, 1
5.943359500000000, 0
5.943365000000000, 1
5.943370250000000, 0
5.943391750000000, 1
5.943397000000000, 0
5.943408000000000, 1
5.943471750000000, 0
5.943525250000000, 1
5.943595999999999, 0
5.943601500000000, 1
5.943606750000000, 0
5.943617499999999, 1
5.943622749999999, 0
5.943649750000000, 1
5.943711749999999, 0
5.943765249999999, 1
5.943838000000000, 0
5.943891750000000, 1
5.943925000000000, 0
5.943978500000000, 1
5.944574500000000, 0
5.944579999999999, 1
5.944585249999999, 0
5.944607000000000, 1
5.944612250000000, 0
5.944623000000000, 1
5.944671749999999, 0
5.944725000000000, 1
5.944800250000000, 0
5.944805750000000, 1
5.944811000000000, 0
5.944816500000000, 1
5.944827249999999, 0
5.944854250000000, 1
5.944895750000000, 0
5.944948999999999, 1
5.945026250000000, 0
5.945037000000000, 1
5.945042249999999, 0
5.945053250000000, 1
5.945058500000000, 0
5.945080000000000, 1
5.945109000000000, 0
5.945162250000000, 1
5.945327250000000, 0
5.945332749999999, 1
5.945338000000000, 0
5.945359750000000, 1
5.945365000000000, 0
5.945375749999999, 1
5.945455500000000, 0
5.945508999999999, 1
5.945580000000000, 0
5.945590750000000, 1
5.945601500000000, 0
5.945633750000000, 1
5.945695499999999, 0
5.945749000000000, 1
5.945822000000000, 0
5.945865000000000, 1
5.945870250000000, 0
5.945875750000000, 1
5.945908750000000, 0
5.945962250000000, 1
5.946031750000000, 0
5.946085500000000, 1
5.946116750000000, 0
5.946170250000000, 1
5.946542500000000, 0
5.946548000000000, 1
5.946553250000000, 0
5.946574750000000, 1
5.946580000000000, 0
5.946591000000000, 1
5.946644750000000, 0
5.946698000000000, 1
5.946773500000000, 0
5.946778999999999, 1
5.946784500000000, 0
5.946789750000000, 1
5.946800500000000, 0
5.946827499999999, 1
5.946863250000000, 0
5.946916750000000, 1
5.946994000000000, 0
5.946999500000000, 1
5.947004750000000, 0
5.947015749999999, 1
5.947020999999999, 0
5.947048000000000, 1
5.947082000000000, 0
5.947135500000000, 1
5.947300500000000, 0
5.947305999999999, 1
5.947311249999999, 0
5.947333000000000, 1
5.947338250000000, 0
5.947349000000000, 1
5.947428500000000, 0
5.947482000000000, 1
5.947558500000000, 0
5.947569499999999, 1
5.947580250000000, 0
5.947612500000000, 1
5.947674000000000, 0
5.947727250000000, 1
5.947800500000000, 0
5.947843750000000, 1
5.947849000000000, 0
5.947854500000000, 1
5.947887250000000, 0
5.947940500000000, 1
5.948015750000000, 0
5.948069500000000, 1
5.948100500000000, 0
5.948154000000000, 1
5.950526500000000, 0
5.950532000000000, 1
5.950537250000000, 0
5.950559000000000, 1
5.950564249999999, 0
5.950575000000000, 1
5.950622750000000, 0
5.950676250000000, 1
5.950752500000000, 0
5.950763250000000, 1
5.950768500000000, 0
5.950774000000000, 1
5.950779250000000, 0
5.950806249999999, 1
5.950862750000000, 0
5.950916250000000, 1
5.950994250000000, 0
5.951048249999999, 1
5.951081500000000, 0
5.951134750000000, 1
5.951295500000000, 0
5.951301000000000, 1
5.951306250000000, 0
5.951327750000000, 1
5.951333000000000, 0
5.951344000000000, 1
5.951444000000000, 0
5.951497499999999, 1
5.951569750000000, 0
5.951575000000000, 1
5.951591250000000, 0
5.951623499999999, 1
5.951678750000000, 0
5.951732000000000, 1
5.952134249999999, 0
5.952139750000000, 1
5.952145000000000, 0
5.952166500000000, 1
5.952171750000000, 0
5.952182750000000, 1
6.125055750000000, 0
6.125109250000000, 1
6.125183750000000, 0
6.125200000000000, 1
6.125210500000000, 0
6.125237500000000, 1
6.125274500000000, 0
6.125327749999999, 1
6.125404000000000, 0
6.125409500000000, 1
6.125414750000000, 0
6.125458000000000, 1
6.125493000000000, 0
6.125546500000000, 1
