Time[s], Channel 7
-0.100000000000000, 1
0.000000000000000, 0
0.000005500000000, 1
0.000010750000000, 0
0.000032500000000, 1
0.000037750000000, 0
0.000048500000000, 1
0.000103250000000, 0
0.000156750000000, 1
0.000376500000000, 0
0.000382000000000, 1
0.000392500000000, 0
0.000398000000000, 1
0.000403250000000, 0
0.000430250000000, 1
0.000497750000000, 0
0.000551250000000, 1
0.001844250000000, 0
0.001849750000000, 1
0.001855000000000, 0
0.001876750000000, 1
0.001882000000000, 0
0.001892750000000, 1
0.002033750000000, 0
0.002087000000000, 1
0.002161500000000, 0
0.002167000000000, 1
0.002177750000000, 0
0.002215500000000, 1
0.002273500000000, 0
0.002327000000000, 1
0.002441000000000, 0
0.002446500000000, 1
0.002462750000000, 0
0.002478750000000, 1
0.002484250000000, 0
0.002495000000000, 1
0.002529500000000, 0
0.002583000000000, 1
0.002656250000000, 0
0.002667000000000, 1
0.002672250000000, 0
0.002677750000000, 1
0.002683000000000, 0
0.002710000000000, 1
0.002742750000000, 0
0.002796250000000, 1
1.170079000000000, 0
1.170084500000000, 1
1.170089750000000, 0
1.170111500000000, 1
1.170116750000000, 0
1.170127500000000, 1
1.170240250000000, 0
1.170293750000000, 1
1.170471500000000, 0
1.170477000000000, 1
1.170487750000000, 0
1.170493250000000, 1
1.170498500000000, 0
1.170525500000000, 1
1.170656250000000, 0
1.170709750000000, 1
1.172004000000000, 0
1.172009500000000, 1
1.172014750000000, 0
1.172036250000000, 1
1.172041500000000, 0
1.172052500000000, 1
1.172128000000000, 0
1.172181500000000, 1
1.172251250000000, 0
1.172256750000000, 1
1.172267500000000, 0
1.172305000000000, 1
1.172362750000000, 0
1.172416000000000, 1
1.172520000000000, 0
1.172557750000000, 1
1.172563000000000, 0
1.172574000000000, 1
1.172666750000000, 0
1.172720000000000, 1
1.172799750000000, 0
1.172810500000000, 1
1.172815750000000, 0
1.172821250000000, 1
1.172826500000000, 0
1.172853500000000, 1
1.172885250000000, 0
1.172938750000000, 1
3.332612000000000, 0
3.332617500000000, 1
3.332622750000000, 0
3.332644250000000, 1
3.332649500000000, 0
3.332660500000000, 1
3.332786000000000, 0
3.332839500000000, 1
3.332918500000000, 0
3.332924000000000, 1
3.332934500000000, 0
3.332940000000000, 1
3.332945250000000, 0
3.332972250000000, 1
3.333042000000000, 0
3.333095250000000, 1
3.334386250000000, 0
3.334391750000000, 1
3.334397000000000, 0
3.334418750000000, 1
3.334424000000000, 0
3.334434750000000, 1
3.334497750000000, 0
3.334551250000000, 1
3.334639000000000, 0
3.334644500000000, 1
3.334655250000000, 0
3.334692750000000, 1
3.334775000000000, 0
3.334828500000000, 1
3.334929250000000, 0
3.334956250000000, 1
3.334961500000000, 0
3.334967000000000, 1
3.334972250000000, 0
3.334983250000000, 1
3.335015000000000, 0
3.335068500000000, 1
3.335144500000000, 0
3.335155250000000, 1
3.335160500000000, 0
3.335166000000000, 1
3.335171250000000, 0
3.335198250000000, 1
3.335228250000000, 0
3.335281750000000, 1
3.802369500000000, 0
3.802375000000000, 1
3.802380250000000, 0
3.802401750000000, 1
3.802407000000000, 0
3.802418000000000, 1
3.802476750000000, 0
3.802530250000000, 1
3.802670500000000, 0
3.802676000000000, 1
3.802686750000000, 0
3.802692250000000, 1
3.802697500000000, 0
3.802724500000000, 1
3.802791500000000, 0
3.802844750000000, 1
3.804138500000000, 0
3.804143750000000, 1
3.804149250000000, 0
3.804170750000000, 1
3.804176000000000, 0
3.804187000000000, 1
3.804284500000000, 0
3.804338000000000, 1
3.804412500000000, 0
3.804418000000000, 1
3.804428750000000, 0
3.804466500000000, 1
3.804524500000000, 0
3.804578000000000, 1
3.804697500000000, 0
3.804713750000000, 1
3.804724500000000, 0
3.804735250000000, 1
3.804740500000000, 0
3.804751500000000, 1
3.804785750000000, 0
3.804839250000000, 1
3.804912750000000, 0
3.804923500000000, 1
3.804928750000000, 0
3.804934250000000, 1
3.804939500000000, 0
3.804966500000000, 1
3.805057750000000, 0
3.805111250000000, 1
8.391603500000000, 0
8.391608999999999, 1
8.391614250000000, 0
8.391636000000000, 1
8.391641249999999, 0
8.391651999999999, 1
8.391721250000000, 0
8.391774500000000, 1
8.391985249999999, 0
8.391990750000000, 1
8.392001499999999, 0
8.392007000000000, 1
8.392012250000001, 0
8.392039250000000, 1
8.392104999999999, 0
8.392158499999999, 1
8.393603750000000, 0
8.393609249999999, 1
8.393614500000000, 0
8.393635999999999, 1
8.393641250000000, 0
8.393652249999999, 1
8.393720750000000, 0
8.393774250000000, 1
8.393985499999999, 0
8.393991000000000, 1
8.394001500000000, 0
8.394039250000001, 1
8.394099499999999, 0
8.394152750000000, 1
8.394249000000000, 0
8.394254499999999, 1
8.394259750000000, 0
8.394265250000000, 1
8.394275750000000, 0
8.394286749999999, 1
8.394292000000000, 0
8.394302750000000, 1
8.394397999999999, 0
8.394451499999999, 1
8.394528500000000, 0
8.394539249999999, 1
8.394544750000000, 0
8.394549999999999, 1
8.394555499999999, 0
8.394582249999999, 1
8.394611500000000, 0
8.394664750000000, 1
8.457651000000000, 0
8.457656499999999, 1
8.457661750000000, 0
8.457683500000000, 1
8.457688749999999, 0
8.457699500000000, 1
8.479868249999999, 0
8.479921500000000, 1
8.480023500000000, 0
8.480029000000000, 1
8.480039750000000, 0
8.480045000000000, 1
8.480050499999999, 0
8.480077249999999, 1
8.480145499999999, 0
8.480150999999999, 1
8.480166750000000, 0
8.480198750000000, 1
10.714023749999999, 0
10.714029000000000, 1
10.714034500000000, 0
10.714055999999999, 1
10.714061250000000, 0
10.714072000000000, 1
10.714115249999999, 0
10.714168500000000, 1
10.714271000000000, 0
10.714276499999999, 1
10.714286999999999, 0
10.714292499999999, 1
10.714297750000000, 0
10.714324749999999, 1
10.714456499999999, 0
10.714509999999999, 1
10.716099000000000, 0
10.716104500000000, 1
10.716109749999999, 0
10.716131499999999, 1
10.716136749999999, 0
10.716147500000000, 1
10.716189499999999, 0
10.716242999999999, 1
10.716319499999999, 0
10.716324999999999, 1
10.716335500000000, 0
10.716373250000000, 1
10.716488249999999, 0
10.716541500000000, 1
10.716642000000000, 0
10.716652999999999, 1
10.716669000000000, 0
10.716695999999999, 1
10.716728249999999, 0
10.716781500000000, 1
10.716991499999999, 0
10.717002500000000, 1
10.717007749999999, 0
10.717013249999999, 1
10.717018500000000, 0
10.717045499999999, 1
10.717074750000000, 0
10.717128250000000, 1
10.753574750000000, 0
10.753580249999999, 1
10.753585500000000, 0
10.753606999999999, 1
10.753612250000000, 0
10.753623249999999, 1
10.802326250000000, 0
10.802379499999999, 1
10.802626499999999, 0
10.802631750000000, 1
10.802642499999999, 0
10.802648000000000, 1
10.802653249999999, 0
10.802680250000000, 1
10.802944750000000, 0
10.802950250000000, 1
10.802966249999999, 0
10.802998250000000, 1
